method,version_bin_start,trajectory_count,version_min,version_max,effective_threshold,full_strategy_fraction,frontier_trigger_rate,imposed_horizon_mean,full_horizon_fraction,realized_turns_mean,realized_turns_median,available_turns_mean,masked_turns_mean,task_success_rate,prompt_truncated_rate
Immediate Vanilla,195,64,196,199,0.1,1.0,0.0,30.0,1.0,11.234375,9.0,11.234375,0.0,0.703125,0.296875
Immediate Vanilla,200,48,201,203,0.10000000000000002,1.0,0.0,30.0,1.0,8.645833333333334,7.0,8.645833333333334,0.0,0.8333333333333334,0.16666666666666666
Immediate Vanilla,205,64,205,209,0.1,1.0,0.0,30.0,1.0,10.09375,8.0,10.09375,0.0,0.78125,0.21875
Immediate Vanilla,210,48,211,214,0.10000000000000002,1.0,0.0,30.0,1.0,9.208333333333334,8.0,9.208333333333334,0.0,0.8125,0.1875
Immediate Vanilla,215,48,215,218,0.10000000000000002,1.0,0.0,30.0,1.0,9.333333333333334,7.0,9.333333333333334,0.0,0.8541666666666666,0.14583333333333334
Immediate Vanilla,220,64,220,224,0.1,1.0,0.0,30.0,1.0,9.296875,8.0,9.296875,0.0,0.8125,0.1875
Immediate Vanilla,225,48,226,229,0.10000000000000002,1.0,0.0,30.0,1.0,9.916666666666666,8.0,9.916666666666666,0.0,0.75,0.25
Immediate Vanilla,230,48,230,233,0.10000000000000002,1.0,0.0,30.0,1.0,11.25,9.0,11.25,0.0,0.6458333333333334,0.3541666666666667
Immediate Vanilla,235,64,235,239,0.1,1.0,0.0,30.0,1.0,10.421875,9.0,10.421875,0.0,0.703125,0.296875
Immediate Vanilla,240,48,241,244,0.10000000000000002,1.0,0.0,30.0,1.0,10.645833333333334,9.0,10.645833333333334,0.0,0.7916666666666666,0.20833333333333334
Immediate Vanilla,245,54,245,250,0.1,1.0,0.0,30.0,1.0,9.703703703703704,7.0,9.703703703703704,0.0,0.7592592592592593,0.24074074074074073
TCOD F2B,0,176,0,4,,0.0,1.0,3.727272727272727,0.0,1.8181818181818181,2.0,,,0.0,0.0
TCOD F2B,5,96,5,9,,0.0,1.0,8.0,0.0,3.5,3.5,,,0.0,0.0
TCOD F2B,10,80,10,14,,0.0,1.0,10.8,0.0,4.5875,5.0,,,0.025,0.0
TCOD F2B,15,64,15,19,,0.0,1.0,13.0,0.0,5.453125,5.0,,,0.03125,0.0
TCOD F2B,20,64,20,24,,0.0,1.0,15.0,0.0,6.0625,6.0,,,0.125,0.0
TCOD F2B,25,64,25,29,,0.0,1.0,17.0,0.0,6.640625,7.0,,,0.234375,0.0
TCOD F2B,30,48,31,33,,0.0,1.0,18.666666666666668,0.0,7.625,8.0,,,0.14583333333333334,0.0
TCOD F2B,35,64,35,39,,0.0,1.0,20.5,0.0,8.234375,8.0,,,0.09375,0.0
TCOD F2B,40,48,40,43,,0.0,1.0,22.333333333333332,0.0,8.25,9.0,,,0.22916666666666666,0.0
TCOD F2B,45,64,45,49,,0.0,1.0,24.0,0.0,8.765625,10.0,,,0.34375,0.0
TCOD F2B,50,48,51,54,,0.0,1.0,25.666666666666668,0.0,9.083333333333334,10.0,,,0.375,0.0
TCOD F2B,55,48,55,58,,0.0,1.0,27.333333333333332,0.0,9.270833333333334,11.0,,,0.4791666666666667,0.0
TCOD F2B,60,64,60,64,,0.25,0.75,29.0,0.25,9.453125,11.0,10.1875,0.0,0.53125,0.015625
TCOD F2B,65,48,66,69,,1.0,0.0,30.0,1.0,9.8125,12.0,9.8125,0.0,0.4583333333333333,0.020833333333333332
TCOD F2B,70,48,70,73,,1.0,0.0,30.0,1.0,10.375,12.5,10.375,0.0,0.4375,0.08333333333333333
TCOD F2B,75,64,75,79,,1.0,0.0,30.0,1.0,10.1875,11.5,10.1875,0.0,0.546875,0.046875
TCOD F2B,80,64,80,84,,1.0,0.0,30.0,1.0,14.03125,14.5,14.03125,0.0,0.4375,0.5625
TCOD F2B,85,48,86,89,,1.0,0.0,30.0,1.0,11.916666666666666,11.5,11.916666666666666,0.0,0.5416666666666666,0.4583333333333333
TCOD F2B,90,64,90,94,,1.0,0.0,30.0,1.0,14.375,14.0,14.375,0.0,0.453125,0.546875
TCOD F2B,95,48,96,99,,1.0,0.0,30.0,1.0,11.520833333333334,10.0,11.520833333333334,0.0,0.5833333333333334,0.4166666666666667
