relative_turn,delta_teacher_entropy,task_success,model_version
2,0.09666981014841475,False,6
3,0.15607540685634486,False,6
4,0.25224689857259625,False,6
5,0.08237543854333784,False,6
6,0.4488395319598812,False,6
7,0.22238351197349576,False,6
-8,-0.01738018432504762,False,6
-7,-0.21090671016410617,False,6
-6,-0.10182269977754654,False,6
-5,-0.21680946105489024,False,6
-4,-0.34041322061022117,False,6
-3,-0.2979545511256172,False,6
-2,0.059862615405011754,False,6
-1,0.28016664423398413,False,6
0,0.15720564355684846,False,6
1,0.1688899632723589,False,6
2,0.07448317252653175,False,6
3,0.2129634214544362,False,6
-7,0.16544134792034415,False,6
-6,-0.13297926428834078,False,6
-5,-0.032462083632003313,False,6
-4,0.017019001625683705,False,6
-3,-0.01123211620281811,False,6
-2,0.12617751423934387,False,6
-1,-0.013258202638296024,False,6
0,0.28278447717600386,False,6
1,0.1583219202999473,False,6
2,0.12568802016234087,False,6
3,0.2841112656901036,False,6
4,0.30102685164150655,False,6
5,0.41875151208704353,False,6
6,0.17714501453636944,False,6
7,0.048689906185022,False,6
8,0.17355063292965933,False,6
9,0.24965811771861446,False,6
10,0.12732047577781713,False,6
11,0.17905149034179368,False,6
-5,-0.11054131726452049,False,6
-4,0.12267129513486164,False,6
-3,-0.01212997787034098,False,6
-2,0.09299103643258677,False,6
-1,0.2924818260002945,False,6
0,0.06327849449488243,False,6
1,0.16941723604267223,False,6
2,0.03804070854493413,False,6
3,0.022644529781379985,False,6
4,0.018412808564369443,False,6
5,0.08893199767780247,False,6
6,0.06609621478519012,False,6
7,0.09023384156157166,False,6
8,0.16776388097381734,False,6
9,0.20850337212190495,False,6
10,0.061003008811160164,False,6
11,0.05240432916205717,False,6
12,0.10385038932425117,False,6
13,0.08665963817863909,False,6
-7,0.15380119325460662,False,6
-6,0.020940914519550602,False,6
-5,-0.1747421077741571,False,6
-4,0.07528450744400905,False,6
-3,0.07755882020024263,False,6
-2,0.17953918703454597,False,6
-1,0.021263039894071745,False,6
0,0.17827268123176765,False,6
1,0.134360403161218,False,6
2,0.1324579801128255,False,6
3,0.06183557694221087,False,6
4,0.21359475103332826,False,6
5,0.019698783286773103,False,6
6,0.262926677047123,False,6
7,0.1633316287990758,False,6
8,0.37900012653532067,False,6
9,0.19510992754997858,False,6
10,0.32337818927079587,False,6
11,0.09420665087553126,False,6
12,0.2153217180933502,False,6
-6,0.10313050998201123,False,6
-5,-0.04514571850924398,False,6
-4,-0.05798479147276736,False,6
-3,-0.10552441027584741,False,6
-2,0.04794938101162588,False,6
-1,0.2086686542728619,False,6
0,0.25399707082075623,False,6
1,0.17355579186683873,False,6
2,0.0947294221808399,False,6
3,0.07055675853840288,False,6
4,0.2646822848879315,False,6
5,0.29249326469477893,False,6
6,0.2802169469938835,False,6
7,0.2632005091972485,False,6
8,0.1941458146234732,False,6
9,0.2229018008715577,False,6
10,0.21511266309159588,False,6
-4,0.040275135699899434,False,7
-3,-0.00473212007171947,False,7
-2,-0.03554301562818002,False,7
-1,0.3707292997170963,False,7
0,0.324408400766449,False,7
