method,explorer_batch,trajectory_count,model_version_mean,matched_done_reward,audited_task_success,matched_done_reward_smooth,matched_done_reward_cumulative,audited_task_success_smooth,audited_task_success_cumulative
TCOD F2B,77,16,93.0,0.5625,,0.4791666666666667,0.23782467532467533,,
TCOD F2B,78,16,94.0,0.6875,,0.4861111111111111,0.24358974358974358,,
TCOD F2B,79,16,80.0,0.625,,0.4583333333333333,0.24841772151898733,,
TCOD F2B,80,16,81.0,0.5,,0.5069444444444444,0.2515625,,
TCOD F2B,81,16,83.0,0.125,,0.5138888888888888,0.25,,
TCOD F2B,82,16,84.0,0.5,,0.5138888888888888,0.2530487804878049,,
TCOD F2B,83,16,86.0,0.4375,,0.4791666666666667,0.2552710843373494,,
TCOD F2B,84,16,87.0,0.6875,,0.4444444444444444,0.2604166666666667,,
TCOD F2B,85,16,89.0,0.5,,0.4513888888888889,0.26323529411764707,,
TCOD F2B,86,16,90.0,0.5625,,0.5208333333333334,0.26671511627906974,,
TCOD F2B,87,16,92.0,0.375,,0.5208333333333334,0.26795977011494254,,
TCOD F2B,88,16,93.0,0.3125,,0.5277777777777778,0.2684659090909091,,
TCOD F2B,89,16,94.0,0.5625,,0.5208333333333334,0.2717696629213483,,
TCOD F2B,90,16,96.0,0.75,,0.5555555555555556,0.27708333333333335,,
TCOD F2B,91,16,97.0,0.5,,0.5763888888888888,0.27953296703296704,,
TCOD F2B,92,16,99.0,0.5,,0.6111111111111112,0.281929347826087,,
TCOD F2B,93,16,100.0,0.625,,0.6527777777777778,0.2856182795698925,,
TCOD F2B,94,16,102.0,0.8125,,0.6597222222222222,0.2912234042553192,,
TCOD F2B,95,16,103.0,0.75,,0.6180555555555556,0.29605263157894735,,
TCOD F2B,96,16,105.0,0.6875,,0.6458333333333334,0.3001302083333333,,
TCOD F2B,97,16,106.0,0.6875,,0.6597222222222222,0.30412371134020616,,
TCOD F2B,98,16,108.0,0.625,,0.6666666666666666,0.30739795918367346,,
TCOD F2B,99,16,109.0,0.375,,0.6597222222222222,0.30808080808080807,,
TCOD F2B,100,16,111.0,0.75,,0.6666666666666666,0.3125,,
